hid|name|since|location|description|response_time|response_rate|acceptance|is_super_host|neighbourhood|email_verified|phone_verified|work_email_verified|identity_verified
263049|Tor|2010-10-15|Bangkok, Bangkok, Thailand|"Hello, my name is Tor, Escape at sathorn terrace is my project opened in this November 2010. as my background, i love design and love decoration as well as traveling and exploring the world. so i decide to make my place to be a  good room with a comfortable price for travellers. Escape hostel is the concept of ""feel at home"" boutique room that easy and feel like friend taking care friend . I reflect myself to my rooms : cozy, homey, enjoy the beauty of simple easy things, down to earth, but also individual.    Not only to invite you stay my rooms, but also want to share  my interesting area, ""charoen krung"". i hope you can feel like traveling and visiting bangkok like visiting a friend's home. ^_^    "|within an hour|1.0|1.0|0|Silom|1|1|0|1
8717079|Kriengsak|2013-09-09|Bangkok, Bangkok, Thailand|Hi, I’m Kriengsak from Chatrium Residence Sathon Bangkok|within an hour|1.0|1.0|0|Yan Nawa|1|1|1|1
8191888|Nan|2013-08-16|Bangkok, Bangkok, Thailand|"Thank, welcome  to My Apartment , I""m Sure,I have Apartment for you , please make sure before you make bookingPlease Note , all of My international guest ""s I Treat the Same Way,I do have my guests from my international friends , since year 2003, I just know Airbnb year 2013, im stat post my Apartments on Mid November 2013,I'm provide to you everything good Condition with clean, ready to used,If you are come to Stay for only 1-night  or 2- , please my advice to stay at least one month,my Apartments are Studio type ( Size 37 sqm ).My Apartment is not Hotels service “But I’m try my best I can “,The day you leave return my Apartment with good Condation , clean with nothing Damage Thank you. I@m fully respect to my Good International Attitude Guests."|within a day|0.5|0.0|0|Lower Sukhumvit|1|1|0|1
4968824|Sanjay|2013-02-04|Thailand|Thank you for viewing my listing. Should you have any inquiries or require any further information, please feel free to contact me. ||0.0|0.0|0||1|1|0|0
5001761|Bell|2013-02-07|Milan, Lombardy, Italy|Hi! everyone, I'm a student living in Milan, Italy. My home is belonging to my family, there  are five of us!! Dad, Mom, my sister, my brother and me. As we are all currently living abroad (both of my sister and brother are in San Francisco), so it's only dad and mom left in the big house. We decide to share our lovely place to our travelers. My dad and mom are very welcoming all of you to become a part of our family.  ||0.0|0.0|0|Saphan Sung|1|1|0|1
1203066|Tienchai|2011-09-24|Thailand|Hi all, my name is Tienchai from Thailand.We just want to make you feel like home when staying with us!||0.0|0.0|0||1|1|0|0
284095|Mimi|2010-11-11|Bangkok, Thailand|Hi i am Mimi.. Hope to see you soon...i welcome you to Galleria Subway..and m sure u will love it||0.0|0.0|0||1|1|0|0
610315|Kasem|2011-05-21|Bangkok, Thailand|MetroPoint Bangkok HotelEasy accessibility to both the airport as well as the city center, makes this hotel a favorable choice among travelers to Bangkok. ||0.0|0.0|0|Bang Kapi|1|1|1|1
5171292|Somsak|2013-02-21|Bangkok, Bangkok, Thailand|(Website hidden by Airbnb) Just ordinary man I run curtains & interior decoration material (website hidden) wallpaper curtain carpet etc to many hotel in Thailand more than 10 years and now it’s ours time to make it one. Ours hostel supply a good quality accommodation decor by ours goods the building come from ours house and office so this hostel running on very competitive cost. You will get a good accommodation like 4-5 stars hotel but pay at hostel price. We aim it to be the real good and cheap things in Bangkok.          Ours location is one of the best for tourists in Bangkok we are in inner city near Taksin bridge on Thonburi side of Chow-pa-ya river near to BTS station and pier. You can go to any Bangkok interesting place in most easyway (Website hidden by Airbnb) Money is important but it’s not main point of renting out ours property.We love to meet new people around the world and hope to be yours good friends in Thailand (Website hidden by Airbnb) am low profile of eat and hobby.All animal love they's life and I like to be vegetarian but still can not be.Believe in Buddha as greatest teacher and knew there are God.Smoking bad to us less than breath in the traffic jam road.The earth is ours home but men on earth is my family.See you soon.         24 hours help and service staffs / long stay rate available in cheaper / Free for :  Wi-Fi /Coffee/ drinking water /towel /bath gel & shampoo etc.|within a day|1.0|0.0|0|Thonburi|1|1|0|1
8663142|ISanook Hotel|2013-09-06|Bang Rak, Bangkok, Thailand|The hippest Residence in Bangkok|within an hour|1.0|1.0|0|Silom|1|1|0|1
294896|Kate|2010-11-22|Bang Phli, Samut Prakan, Thailand|Hi I'm Kate A. I am from Bangkok, Thailand.My personality just like other thais, very shy to speak with foreigner, but I don't eat spicy food. my favorite band are the velvet underground, the kinks, MGMT etc.and I always love Wes Anderson's movies.That all!||0.0|1.0|0||1|1|0|0
302658|Srisuk|2010-11-28|Thailand|I live in the main house with friends :) Welcome to the pool house--too bad there is a fence separated the pool area from the main house--- otherwise we can play together...:P||0.0|0.0|0|Aree|1|1|0|0
5153476|Natcha|2013-02-19|Bangkok|Thai Love Food and Travel Thank you for viewing my listing. Should you have any inquiries or require any further information, please feel free to contact me.||0.0|0.0|0|Klong Toey|1|1|0|0
323158|Sue|2010-12-20|Thailand|I like to travel and visit new places. Have been to many countries around the world and loving it. Still so much more to explore!! |within a few hours|1.0|0.5|0|Chatuchak|1|1|1|1
3769704|Pat|2012-10-05|Bangkok, Thailand|Thailand, Shopping - Clubbing - travelingThank you for viewing my listing. Should you have any inquiries or require any further information, please feel free to contact me. I'll be more than happy to answer you.||0.0|0.0|0||0|1|0|0
8362130|Luckana|2013-08-24|Bangkok, Thailand|Luckana is my name, I was born, studied and live in Bangkok. Love to travel, eat, shop, adventure trip and like to meet people around the world.||0.0|0.0|0||1|1|1|0
545890|Henry|2011-04-30|Bangkok, Thailand|Hello!Our collection of privately owned apartments in central Bangkok, could be just the locations you are looking for on your next visit to Thailand. Our selection of properties all have well proportioned rooms and are furnished to the highest standards. All are bright, spacious and perfectly located. You can view detailed descriptions and pictures of our properties here as well as check availability. Please contact us to reserve properties, or if you have any questions. We look forward to welcoming you to Thailand.Henry|a few days or more|0.43|0.0|0|Klong Toey|1|1|0|1
8807437|Oillie|2013-09-13|Bangkok, Bangkok, Thailand|Sawasdee ka. My name is Oillie. I currently live in Bangkok, Thailand. I love dogs and animals. I got four Afghanhounds. I enjoy meeting people and traveling. I am a responsible person and like to keep thing clean. I swim, cycle and run. And I enjoy the little things: a good coffee, a good book, and a nice walk in the park or in the city.|within an hour|1.0|1.0|0|Bangkok Yai|1|1|0|1
5265861|Chuchart|2013-02-28|Thailand|||0.0|0.0|0||1|1|0|0
5297436|Anya|2013-03-03|Bangkok|Journalist, travel a lot. ||0.0|0.0|0|Ratchathewi/Phaya Thai|1|1|0|0
578110|Muay|2011-05-11|Bangkok, Thailand|Hey, i would really like to welcome you to my beautiful property here and would love to host you! ||0.0|0.0|0||1|1|0|1
596463|Dustin|2011-05-17|Bangkok, Thailand|I am 27 years old & working as a PE teacher in Bangkok Thailand. Contact me if you would like to know more. ||0.0|0.0|0||1|1|0|0
5325919|วสวัตติ์|2013-03-04|Ratchathewi, Bangkok, Thailand|Welcome to BangLuang House @Bangkok. We offers style, comfort and the chance to be immersed in the neighbourhood’s relaxed pace of life.|within an hour|1.0|1.0|0|Bangkok Yai|1|1|0|1
5309669|Apiradee|2013-03-03|Bangkok|I'm from Bangkok and love to travel and explore the city ||0.0|0.0|0|Sathorn|1|1|1|0
703944|Parinya|2011-06-15|Bangkok, Thailand||within an hour|1.0|0.92|0||1|1|0|0
5358785|Danny|2013-03-07|Aadorf, Thurgau, Switzerland|I'm from Switzerland, living in Thailand 6 months of the year.|within a day|1.0|0.0|0||1|1|0|1
8841731|Sylvain Et Takae|2013-09-15|Bangkok, Thailand|Fan de voyages et d'Asie, nous avons posé nos valises en Thaïlande il y a plusieurs années.J'espère que vous vous sentirez bien chez nous. Nous serons là pour vous faciliter la tache tout au long de votre séjour !A très bientôt.Sylvain et Takaeこんにちは！ｼﾙﾊﾞﾝとﾀｶｴです。私達は長年ﾀｲに住む､ﾌﾗﾝｽ人と日本人のｶｯﾌﾟﾙです。日本語での返信も可能なので､ご不明点があればお問い合わせ下さい。お会い出来るのを楽しみにしています！ｼﾙﾊﾞﾝ&ﾀｶｴ|a few days or more|0.0|0.0|0|Klong Toey|1|1|0|1
58920|Gael|2009-12-01|Ko Samui, Surat Thani, Thailand|I'm french, living in Samui and Bangkok.I run an agency in Bangkok and a private boat charter in Koh Samui. I enjoy kitesurfing (as you can see on the photo) and reading business/marketing related books.|within a few hours|1.0|1.0|0||1|1|0|1
1927968|Evan|2012-03-15|Bangkok, Thailand|Hi thereMy nickname is EvanI am 32 y.o. east Europe roots guy last 8 years living in central Bangkok with my 3 dogs. M really into East Asia and Asian culture.In my profile you can see listings in my own house (modest Thai style town house) and a nice apartment building i am taking care of.All my property is in the modern city center walking distance from MRT Lumphini - blue line.I play with my dogs, do gym/yoga, eat Chinese food and fruits, go to flea markets, interested in authentic architecture and design solutions for houses. I dream to own a big authentic antique house with a garden and a fishpond one day.If you already read all above you will definitely enjoy staying in my place .|within an hour|1.0|1.0|0|Sathorn|1|1|0|1
5455196|Montonn|2013-03-14|Bang Phli, Samut Prakan, Thailand|Simple and Accommodating. I have a few apartments for rent and try to keep it as simple as possible for guests. I do hope you enjoy your stay! Welcome to Bangkok!|a few days or more|0.0|0.0|0||1|1|0|0
766443|Gerd|2011-07-01|Bangkok|From BangkokI am looking forward to hosting you via Airbnb.|within an hour|1.0|0.94|0|Lower Sukhumvit|1|1|0|1
5480639|Chananya|2013-03-15|Bangkok|Hi I am Chananya from Bangkok Thailand.Freelance designer as well as teaching in the University.Would prefer non-smoking quests.||0.0|0.0|0|Bang Na|1|1|0|1
2129668|Wimonpak|2012-04-13|Bangkok /LONDON|Wimonpak Prapasrianan, this is my very long Thai name. I also have nick name, Meow or Michelle.I was born in Bangkok, lived & studied in Bangkok in my early years. My teenage years were spent in London, where I did my studies in Business.During this period of my life I took a great interest in travel, that I still have, too this day.I have traveled to many countries in Europe & Asia & wish to travel to many more as well as more exotic destinations like , Africa, South America & hopefully this year Australia.Each country has taught me valuable lessons about what it means to be friendly, give & receive hospitality& look after my fellow travellers. I hope to welcome you to my studio apartments & will happily help you with any travel queries or arrangements that you need to make. Thanks You. Michelle.|within a few hours|0.9|0.86|0|Bang Kho Laem|1|1|0|1
806600|Frances|2011-07-11|Thailand|Hi I'm Frances from Thailand.A former journalist who can now write about whatever her heart desires!||0.0|0.0|0||1|1|0|0
7045870|Jiraporn|2013-06-22|Bangkok, Thailand|I and my husband are both Thai. We both love traveling and staying in stylish place, good location and reasonable price.  Airbnb is the good alternative for us||0.0|0.0|0|Sai Mai|1|1|0|1
5532025|Nalin|2013-03-19|Thailand|I am Nalin.||0.0|0.0|0|Chatuchak|1|1|0|0
5594281|Yodying|2013-03-24|Bangkok, Thailand|Thank you for viewing my listing. Should you have any inquiries or require any further information, please feel free to contact me. ||0.0|0.0|0|Chatuchak|1|1|0|0
3323622|Phoebe|2012-08-20|Huangpu, Shanghai, China|I like the idea of hosting - providing a cozy haven for travellers has always appealed to me.Hope you enjoy the stay in my place!|a few days or more|0.0|0.0|0||1|1|0|1
5386996|Parechart|2013-03-09|Bangkok, Thailand|Time flies, life is short so let's enjoy our lives!Thank you for viewing my listing. Please simply message me if you want to ask anything or need any clarifications. If you want to book, please place a booking or send me a message if you have questions. ||0.0|0.0|0|Sathorn|1|1|0|0
729617|Kanchuya|2011-06-22|Singapore|I'm a nice, clean and friendly female. I love traveling and have been able to do so through work and holidays. I've been living in different places, some longer than others, mostly through work including San Francisco, Phoenix, Los Angeles, Vancouver, London, Hong Kong, Bangkok and Singapore. So I can relate to most of people who move their life around. I love cooking, decorating, reading books, listen to music and hang out with good friends.  ||0.0|0.0|0||1|1|0|1
3346331|Bee|2012-08-23|Canada| I was born and raised in Bangkok. Now, I have been living in Canada with my husband and 14 years old twin girls for 18 years. I am a self employed and run a retail business in Southern Alberta.I mostly enjoy eating, shopping, technology and travels to fun destinations and with fun people.I LOVE to travel and embrace the passion of adventure. Getting to know countries by seeing, doing, eating, smelling and adventuring is more my style. I am not the tour group style traveler.My hosting style could be described as helpful, if a person would like a bit of advice or need a bit of help orientating in the area. I certainly can lend a hand on food, destinations and travel recommendations within Thailand and also my parents are also a few blocks away  and always available to help out. I have encountered the frustrations of language barriers and being scammed when travelling sometimes, so to help other travelers avoid that is a pleasure!!|within an hour|1.0|1.0|1|Sathorn|1|1|1|1
2148220|Marvin|2012-04-15|Bangkok, Bangkok, Thailand|We're conveniently situated walking distance from Saint Louis BTS skytrain station, Silom road - one of Bangkok's prime shopping and entertainment districts, and the vast green expanses of Lumpini park.Designed with the needs of executives in mind, every detail of our studio and one-bedroom serviced apartments, and the complimenting facilities and services we offer are specifically planned to ensure that regardless of whether you're staying in the city for only a few short weeks, or scheduled to remain in the city for months, Marvin Suites will serve your every need. ||0.0|0.0|0|Sathorn|1|1|0|0
5735895|Pariya|2013-04-02|Bangkok, Thailand|"Hi I am Pariya, welcome to Bangkok, Thailand.We would to like welcome you to ""Pariya Villa"" our traditional name of a Thai residence on a quiet lane (""soi"") off Rama I Road, conveniently located in the dynamic and exciting Siam area of Bangkok, a four-story residence in modern Thai style in a quiet garden setting, offers one well-appointed apartment per floor that combine classical style with contemporary amenities, considerable personal space and complimentary parking in a peaceful atmosphere in the heart of Bangkok. Reach out to me if you have any questions."||0.0|1.0|0||1|1|0|1
5793490|Nicky|2013-04-06|Bangkok|Hello, I'm Nicky,Welcome to Thailand. We love to share Bangkok/Thailand with you guys.  You will be amazed with Thai culture, beauty of nature, yummy Thai food, people and places.   You're more than welcome to stay here more like very at home.Enjoy your trips and feel free to let me know how to facilitate your journey more enjoyable.你好，我是Nicky，欢迎来到泰国。我们喜欢与你们分享曼谷/泰国。您将会对泰国文化，自然之美，美味的泰式美食，人们和地方感到惊叹。你更欢迎留在这里更像在家里。享受您的旅行，随时让我知道如何让您的旅程更愉快。こんにちは､私はﾆｯｷｰです､ﾀｲへようこそ。私たちはﾊﾞﾝｺｸ/ﾀｲを皆さんと共有したいと考えています。あなたは､ﾀｲの文化､自然の美しさ､おいしいﾀｲ料理､人々､そして場所に驚かれるでしょう。あなたは､家庭のようにもっとここに滞在することを歓迎する以上のものです。あなたの旅を楽しんで､あなたの旅をより楽しくする方法を教えてください。Hola, soy Nicky,Bienvenido a Tailandia.Nos encanta compartir Bangkok / Tailandia con ustedes. Te sorprenderá la cultura tailandesa, la belleza de la naturaleza, la deliciosa comida tailandesa, las personas y los lugares. Eres más que bienvenido a quedarte aquí más como en casa.Disfrute de sus viajes y no dude en decirme cómo facilitar su viaje más agradable.Bonjour, je suis Nicky,Bienvenue en Thailande.Nous aimons partager Bangkok / Thaïlande avec vous les gars. Vous serez étonné par la culture thaïlandaise, la beauté de la nature, la délicieuse cuisine thaïlandaise, les gens et les lieux. Vous êtes plus que bienvenus pour rester ici plus comme à la maison.Profitez de vos voyages et n'hésitez pas à me laisser savoir comment faciliter votre voyage plus agréable.Hallo, ich bin Nicky,Willkommen in Thailand.Wir lieben es, Bangkok / Thailand mit euch zu teilen. Sie werden begeistert sein von der thailändischen Kultur, der Schönheit der Natur, leckerem thailändischen Essen, Menschen und Orten. Sie sind mehr als willkommen, hier mehr wie zu Hause zu bleiben.Genießen Sie Ihre Reisen und lassen Sie mich wissen, wie Sie Ihre Reise angenehmer gestalten können.||0.0|0.0|0|Bang Kho Laem|1|1|0|1
5822937|Piya|2013-04-08|Thailand|Thanks for visiting my listing page and welcome to my place at Ideo Mix,Sukhumvit 103, the location is close to BTS udonsuk!  |within an hour|1.0|1.0|1|Bang Na|1|1|0|1
4154759|Mimi|2012-11-15|Bangkok, Thailand|From : Bangkok - ThailandPurpose : Sightseeing/Travelling/people observing Career: Marketing in Real Estate Company, accountant in fireworks companyEducation: Master Degree in Marketing from Sasin School of Business (Chulalongkorn University)Age: 35 yrs oldPersonality: Easy going, humble, eager to learn, good listener, funny, love babies and animals like cats, dogs, fish, bunnies, etc. |within an hour|1.0|1.0|0|Sathorn|1|1|0|1
5929404|Inn Saladaeng & The Sathon Vimanda|2013-04-15|Bangkok|Lovely family run hotels in two central locations of bangkok ❤|a few days or more|0.0|0.0|0|Silom|1|1|1|1
5935474|Tisa|2013-04-15|Bangkok, Thailand|Investor relations manager in a high-end real estate developer in Thailand.||0.0|0.0|0||1|1|1|1
9181769|Nol|2013-10-02|Bangkok, Thailand|Professional working in foreign investment especially on real estate investment. Background in Architect, loves art, design, Architecture, wine, good food, grilling and travelling|a few days or more|0.0|0.0|0|Chatuchak|1|1|1|1
9279712|Jing|2013-10-07|Bangkok Thailand|I love to travel and meet new peoples.I love to read ,shopping and watching movies in my free time and also like to hang out in the new place all around bangkok so if you want an idea where to hang out you can ask me.|within a day|1.0|1.0|0|Aree|1|1|0|0
9399478|Piyakorn|2013-10-13|Bangkok|I'm a pastry chef who spend most of my time working in the kitchen. If I have free time I would go shopping or testing new recipe. |within a day|1.0|0.0|0|Klong Toey|1|1|0|1
9407280|Timo|2013-10-13|Berne, Canton of Bern, Switzerland|"Hi,Welcome to the Airbnb profile of The Duplex Bangkok.We can offer you first class amenities, the highest technical comfort, excellent infrastructure with a variety of additional services in a prime location in the heart of Bangkok.We call it „The Duplex Bangkok” and we will carry out our slogan ""Swiss made"" throughout your stay.We are looking forward to welcoming you in our apartment for a pleasant stay.Kind regardsTimo and Rose"|within a few hours|1.0|1.0|0|Ratchathewi/Phaya Thai|1|1|0|1
9478184|Shine|2013-10-17|Bangkok, Bangkok, Thailand|Hi I’m Shine. I work as a film producer in a company not far from the apartment. I am spoiled by great art direction so I like nice furniture. I am a true Bangkokian, so I can help you navigate the City of Angels.|within a few hours|1.0|0.0|0|Klong Toey|1|1|0|1
9545111|Penjit|2013-10-21|Bangkok, Thailand|||0.0|0.0|0||0|1|0|0
5260038|Great|2013-02-28|Bangkok, Thailand|"I'm a Thai designer live here in Bangkok. I love to travel a lot, both regional and international. I used to study in Germany during 2011-2012. That's why I can speak German. I've been traveling since I was a kid. I've been more than 30 country around the world. My favourite Country except from my country is ""Germany"". I love to hangout. I'm drinking and smoking. I love to listen to music especially from the 70s. Life is short, Let's have some fun while you can :)"|within an hour|1.0|1.0|0|Bang Na|1|1|0|1
9626074|Weera|2013-10-25|Bangkok, Bangkok, Thailand|||0.0|0.0|0||1|1|1|0
9652914|Jirasak|2013-10-26|Bangkok|Hi every one!! My name is Jirasak , you can call me Art in short. ||0.0|0.0|0|Upper Sukhumvit|1|1|0|0
889670|Narumon|2011-07-29|Khlong Toei, Bangkok, Thailand|I'm an accountant who likes numbers and travels.  Numbers and calculator fund for my travels which is priceless and worth every penny!!||0.0|0.0|0||1|1|0|1
8214044|Evan From Sanctuary House|2013-08-17|Bangkok, Thailand|The Sanctuary House project began in 2006. I had always loved this neighborhood and stayed here whenever in Bangkok because of its real-Thailand-urban-village-feel. (Think Park Slope, Brooklyn 25 years ago).....fast forward to 2017 and I now have three of these shophouses, lovingly restored and transformed into cozy, classy, spacious studio apartments with a large rooftop garden and soaring views of Silom and Sathorn. Having been a tenant in Bangkok before, I knew what expats wanted, whether for a short or long-term stay - kitchens, big bathrooms, good management and no Thai tricks with deposits and hidden charges. Voila Sanctuary House... Our guests love us, so try to book ahead when possible. I have lived in Bangkok for over 8 years. We have a friendly and helpful management style while giving you all the privacy and freedom you need. I look forward to welcoming you to Bangkok and to Sanctuary House, our little oasis of peace and quiet in the heart of the Big Mango. |within an hour|1.0|1.0|1|Sathorn|1|1|1|1
9797599|Littlehome|2013-11-04|Bangkok, Thailand|I have experience in organising trips also knowledge about hospitality. I can introduce you Bangkok and travel trip all over Thailand and Southeast Asia.  We also have reliable guides, business assistants and drivers. We can provide tailor made trips, travel services for your purpose. Most of the time our staff opens the room for guests. Kindly contact us for details. Look forward to welcome to our places.|within an hour|1.0|0.6|0|Lower Sukhumvit|1|1|1|1
6132593|Salvatore|2013-04-28|Bangkok, Bangkok, Thailand||within an hour|1.0|0.99|1|Sathorn|1|1|0|1
4937984|Sugarcane|2013-02-02|Bangkok, Thailand|||0.0|0.0|0|Banglampoo|0|1|0|0
5981006|Sibyl|2013-04-18|United Kingdom|Friendly and flexible||0.0|0.0|0|Suan Luang|1|1|0|1
6262801|Andrea|2013-05-06|Bangkok, Thailand|I'm a massage therapist and yoga practitioner who lived Asia for almost 10 years and then moved to Montreal for another 2 yearsI'm currently living in Rio de Janeiro but always traveling around mainly within Brazil, my homeland, Canada and South East Asia.|a few days or more|0.0|0.0|0|Silom|1|1|0|1
1155796|Sutisa|2011-09-14|Bangkok| I love travelling, I used to work with my closed friend who is the tour guide to arrange the tour for several tourists.  I can provide you the guide for activities, accommodations to anywhere around Thailand.  I'm always happy to support and answer your questions.  You're welcome to visit my place!   |a few days or more|0.0|0.0|0|Victory Monument|0|1|0|1
6313832|Psirivedin|2013-05-09|TH|||0.0|0.0|0|Don Mueang|1|0|0|0
6329126|Borisut|2013-05-11|Bangkok, Thailand|Business owner, Anti-aging medial doctor||0.0|0.0|0|Ratchathewi/Phaya Thai|1|1|1|0
1513875|Suchada|2011-12-17|BANGKOK|We have successfully managed  a family -owned serviced apartment called Bangkok Patio, and this time we would like to welcome guests to stay in our private building where we rent out  entire unit of one bedroom apartment. It is perfect combination, guest service from our team at Bangkok Patio Apartment (if needed) and a privacy in our private residence.|within an hour|1.0|1.0|1|Aree|1|1|1|1
6378923|Deyan|2013-05-14|Bangkok, Thailand|||0.0|1.0|0||1|1|0|1
5402740|Nattha|2013-03-10|Bangkok, Thailand|Hi,My name is Nattha I'm from Bangkok, Thailand.||0.0|0.0|0||1|1|0|1
6586465|Tayawat|2013-05-26|Bangkok, Thailand||within an hour|1.0|1.0|0|Aree|1|1|0|1
9821998|Pichanee|2013-11-05|Bangkok, Thailand||within a few hours|1.0|0.0|0||1|1|0|1
2530240|Pat|2012-06-02|Bangkok, Thailand|Traveling the world is always my passion so I enjoy being in this community so much both as a guest and a host. If you want to know more about me, my reviews can say it best!  |within a few hours|1.0|0.92|0|Din Daeng/Huai Khwang|1|1|0|1
4837310|Veesa|2013-01-24|Thailand|||0.0|0.0|0|Bang Na|0|1|0|0
960892|Vajirune|2011-08-12|Bangkok, Thailand|At this age of 62 years young, I'm still leading an active and fitness lifestyle.I go to the gym, jog and cycle outdoor 4-5 days a week.Photography is my favorite hobby.Golf is still my social sport.I do not smoke, but can socialize a few drinks with friends.I'm friendly and love to meet new friends...:))||0.0|0.0|0|Phra Khanong |1|1|0|1
1823870|Jeerapa|2012-02-28|Bangkok|A work hard play hard entrepreneur who enjoys good food, fine wine, nice music and quality life style.  I decorate my apartments which I want to rent out the way I would live in myself and I treat other's apartment which I rent as if it was mine.  Responsibility, trust and commitment are some of my core values.||0.0|1.0|0|Sathorn|1|1|0|1
9434109|Sander|2013-10-15|Bangkok|We like to travel all around the world!Paris, Barcelona, Amsterdam, Dubai, Bali, Rome, Venice, Florence, Cairo, Bangkok, Antwerp, Sharm EL Sheik, Berlin, Brussels, Chiang Mai, Hua Hin, etc.We provide the service as we like to receive it when we traveling.||0.0|0.0|0||1|1|0|1
9509219|Pee|2013-10-18|Bangkok, Thailand|On behalf of the property owner, sometime I stay at my place but sometime I'm not here and willing to share the best new building to anyone as my special guests.By the way, Wishing my guests enjoying all time of living at the place and getting the best experience of traveling.*The properties are always maintained and cleaned, to ensure that my guests would be happy.*During stay at the place, please don't hesitate to let me know whether you want anything more! for providing the things as your need ASAP.|within a few hours|1.0|1.0|0|Prawet|1|1|0|1
9906827|Nokiko|2013-11-09|BANGKOK|I am Freelance graphic designer.|within a few hours|1.0|1.0|1|Chatuchak|1|1|0|1
10070953|Vichit|2013-11-17|TH|||0.0|0.0|0|Suan Luang|1|1|0|0
10099278|Karjsanit|2013-11-18|Bangkok, Thailand|Nice host, feel free to ask about place to stay or where to go in Thailand. I can speak English so just give me a shout if you need my service|within an hour|1.0|1.0|1||1|1|1|1
6615588|Jin|2013-05-28|Bangkok, Thailand||a few days or more|0.0|0.0|0||0|0|0|0
6647138|NiNew|2013-05-30|Bangkok, Thailand|Hello, I'am NiNew from Bangkok, Thailand.||0.0|0.0|0|Lak Si|1|1|0|1
6648722|Taweewat  (Ken)|2013-05-30|Bangkok, Krung Thep Maha Nakhon, Thailand|Easy Going, Fun and Witty, Reasonable, Helpful, Fluent in English.I'm in a real estate business for over 10 years. Now running a small serviced apartment called Baan Bunrapa  near ARI BTS Station (Skytrain) very convenient and safe location. ||0.0|0.0|0||1|1|0|1
4583001|Suchela|2013-01-04|Bangkok, Thailand|Born and raised in northern Thailand, I am a manager with a 5 star hotel in Bangkok. I went to school in Aarhus (Denmark) and have a Master's degree from the School of Oriental and African Studies (SOAS) in London, UK. I am also the author of travel guidebooks (in Thai language) to India.I speak fluent English, Danish and Thai.I now live with husband in an another part of Bangkok, and have kept this studio for solo travellers and couples to use as a handy base for exploring the charming and chaotic 'City of Angels' that is Bangkok.||0.0|0.0|0|Aree|1|1|0|0
2087671|Apipu|2012-04-07|Bangkok, Thailand|I'm easy guy . Loving to meet new friends . Loving to learn new culture and language . You are sure to like me and my naughty kid. Our accommodation is surrounded by everything u need , money exchange , 7 Eleven,discount store, variety of street food.MRT and BTS ||0.0|1.0|0|Aree|1|1|0|0
6838199|Sirikamol|2013-06-10|Bangkok, Thailand|Favorite Destinations: Morocco, Egypt, Italy, Praque, Spain, China.||0.0|0.0|0||1|1|0|0
175729|Mitch & Mam|2010-07-21|Bangkok, Thailand|American and Thai Couple Traveling and loving life together. We love to travel and explore new experience.Our goal is to make all guests feel like They are staying at your home.|within a day|1.0|0.0|0||1|1|1|0
